Year,Date,Field,Block,Treatment,Dry_Matter,A_acid,B_acid,_HSI,Color
2018,8/28/2018,Farm1,I,1,20.6,6.45,7.5,0.219,7
2018,8/28/2018,Farm1,II,1,20.3,6.6,7.55,0.209,10
2018,8/28/2018,Farm1,III,1,21.42,7.8,7.25,0.212,9
2018,8/28/2018,Farm1,IV,1,21.73,8.3,7.65,0.207,10
2018,8/28/2018,Farm1,V,1,22.32,8.55,8.2,0.228,9
2018,8/28/2018,Farm1,VI,1,21.2,9.05,7.9,0.212,10
2018,8/28/2018,Farm1,VII,1,21.06,6.35,7.5,0.212,10
2018,8/28/2018,Farm1,I,2,21.46,7.65,7.9,0.213,10
2018,8/28/2018,Farm1,II,2,20.55,7.8,7.6,0.216,10
2018,8/28/2018,Farm1,III,2,21.98,8.7,7.4,0.218,9
2018,8/28/2018,Farm1,IV,2,22.03,8.05,8.4,0.214,9
2018,8/28/2018,Farm1,V,2,23.01,7.2,8,0.22,10
2018,8/28/2018,Farm1,VI,2,23.33,6.95,7.4,0.212,10
2018,8/28/2018,Farm1,VII,2,22.94,8.5,7.9,0.214,9
2018,8/28/2018,Farm1,I,3,21.38,7.85,8.15,0.203,10
2018,8/28/2018,Farm1,II,3,20.93,8.05,7.75,0.21,9
2018,8/28/2018,Farm1,III,3,20,8.85,7.1,0.222,8
2018,8/28/2018,Farm1,IV,3,22.04,8.6,7.65,0.215,9
2018,8/28/2018,Farm1,V,3,21.87,6.55,8.1,0.228,9
2018,8/28/2018,Farm1,VI,3,21.66,8.2,7.8,0.211,10
2018,8/28/2018,Farm1,VII,3,20.39,7.05,7.55,0.214,10
2018,8/28/2018,Farm1,I,4,21.51,7.95,7.85,0.206,10
2018,8/28/2018,Farm1,II,4,21.88,7.9,7.75,0.218,9
2018,8/28/2018,Farm1,III,4,20.59,6.1,7.3,0.218,10
2018,8/28/2018,Farm1,IV,4,21.77,9.05,7.8,0.215,10
2018,8/28/2018,Farm1,V,4,19.95,6.7,7.4,0.218,9
2018,8/28/2018,Farm1,VI,4,23.95,5.1,6.85,0.225,8
2018,8/28/2018,Farm1,VII,4,21.46,7.05,7.2,0.222,10
2019,8/29/2019,Farm2,I,1,22.46,7.66,9.57,0.211,8
2019,8/29/2019,Farm2,II,1,21.21,7.77,10.46,0.217,8
2019,8/29/2019,Farm2,III,1,21.77,8.51,9.91,0.217,8
2019,8/29/2019,Farm2,IV,1,22.17,7.94,10.16,0.212,8
2019,8/29/2019,Farm2,V,1,21.74,8.85,9.09,0.221,7
2019,8/29/2019,Farm2,VI,1,22.4,9.31,8.8,0.222,7
2019,8/29/2019,Farm2,VII,1,21.19,7.92,9.5,0.215,8
2019,8/29/2019,Farm2,I,2,23.56,6.99,9.56,0.219,8
2019,8/29/2019,Farm2,II,2,23.25,8.69,9.58,0.219,9
2019,8/29/2019,Farm2,III,2,22.84,6.58,8.5,0.209,9
2019,8/29/2019,Farm2,IV,2,17.68,8.6,8.86,0.215,7
2019,8/29/2019,Farm2,V,2,22.88,8.53,9.83,0.226,9
2019,8/29/2019,Farm2,VI,2,22.44,7.56,9.34,0.214,8
2019,8/29/2019,Farm2,VII,2,21.3,8.5,8.94,0.221,7
2019,8/29/2019,Farm2,I,3,22.58,8.63,9.08,0.21,9
2019,8/29/2019,Farm2,II,3,23.68,8.41,9.24,0.215,8
2019,8/29/2019,Farm2,III,3,22.5,7.85,9.23,0.214,7
2019,8/29/2019,Farm2,IV,3,21.43,7.76,10.09,0.224,7
2019,8/29/2019,Farm2,V,3,21.92,7.87,9.58,0.222,7
2019,8/29/2019,Farm2,VI,3,22.15,7.97,9.32,0.214,8
2019,8/29/2019,Farm2,VII,3,21.58,8.63,8.9,0.225,8
2019,8/29/2019,Farm2,I,4,21.06,8.47,9.63,0.224,8
2019,8/29/2019,Farm2,II,4,21.17,7.45,9.79,0.225,8
2019,8/29/2019,Farm2,III,4,21.12,8.17,9.75,0.217,8
2019,8/29/2019,Farm2,IV,4,21.92,8.52,9.31,0.219,8
2019,8/29/2019,Farm2,V,4,21.65,8.87,8.85,0.218,7
2019,8/29/2019,Farm2,VI,4,23.33,7.31,9.51,0.224,8
2019,8/29/2019,Farm2,VII,4,22.35,8.16,10.08,0.217,9
2020,8/26/2020,Farm3,I,1,28.89,4.68,8.58,0.225,7
2020,8/26/2020,Farm3,II,1,23.72,4.79,8.05,0.238,6
2020,8/26/2020,Farm3,III,1,28.55,4.93,9.28,0.207,8
