 Year,State,Station,PMI,Sprays,Interval,MeanIndex,MedianIndex,Std
2016,WA,Toppenish,30C,9,8.67,87.82,100,23.45
2016,WA,Toppenish,28C,9,8.67,86.79,100,24.57
2016,WA,Toppenish,28C_4C,9,8.67,85.64,100,24.42
2016,WA,Toppenish,28C_4C_4h,9,8.67,83.08,100,25.4
2017,WA,Toppenish,30C,8,9.75,52.44,55,32.68
2017,WA,Toppenish,28C,7,11.14,32.56,30,30.04
2017,WA,Toppenish,28C_4C,6,13,17.69,0,22.62
2017,WA,Toppenish,28C_4C_4h,7,11.14,28.85,25,26.77
2018,WA,Toppenish,30C,9,8.67,69.23,80,30.61
2018,WA,Toppenish,28C,9,8.67,56.41,60,37.42
2018,WA,Toppenish,28C_4C,8,9.75,50.64,40,38.15
2018,WA,Toppenish,28C_4C_4h,9,8.67,53.59,50,37.28
2019,WA,Toppenish,30C,10,7.8,77.56,90,30.33
2019,WA,Toppenish,28C,9,8.67,67.69,80,34.86
2019,WA,Toppenish,28C_4C,9,8.67,66.15,80,34.31
2019,WA,Toppenish,28C_4C_4h,9,8.67,67.44,80,34.69
2020,WA,Toppenish,30C,10,7.8,91,100,14
2020,WA,Toppenish,28C,10,7.8,85.4,100,26
2020,WA,Toppenish,28C_4C,9,8.7,76.7,90,32
2020,WA,Toppenish,28C_4C_4h,9,8.7,77.1,90,33
2021,WA,Toppenish,30C,9,8.7,77.4,90,32
2021,WA,Toppenish,28C,9,8.7,72.8,90,35
2021,WA,Toppenish,28C_4C,8,9.8,59.5,70,39
2021,WA,Toppenish,28C_4C_4h,9,8.7,65.8,80,36
2022,WA,Toppenish,30C,9,8.7,67.1,80,35
2022,WA,Toppenish,28C,9,8.7,64.6,70,35
2022,WA,Toppenish,28C_4C,8,9.8,50,55,42
2022,WA,Toppenish,28C_4C_4h,9,8.7,56.7,70,39
2016,WA,ProsserNE,30C,9,8.67,84.36,100,26.02
2016,WA,ProsserNE,28C,9,8.67,82.05,95,26.84
2016,WA,ProsserNE,28C_4C,9,8.67,74.36,85,30.48
2016,WA,ProsserNE,28C_4C_4h,9,8.67,79.49,90,27.44
2017,WA,ProsserNE,30C,8,9.75,56.41,60,37.86
2017,WA,ProsserNE,28C,8,9.75,45.64,50,36.38
2017,WA,ProsserNE,28C_4C,7,11.14,38.85,40,34.34
2017,WA,ProsserNE,28C_4C_4h,7,11.14,38.85,40,34.34
2018,WA,ProsserNE,30C,10,7.8,79.87,95,29.61
2018,WA,ProsserNE,28C,10,7.8,73.59,80,29.85
2018,WA,ProsserNE,28C_4C,10,7.8,69.36,80,31.43
2018,WA,ProsserNE,28C_4C_4h,10,7.8,73.59,80,29.85
2019,WA,ProsserNE,30C,10,7.8,79.74,90,25.53
2019,WA,ProsserNE,28C,9,8.67,71.79,80,31.57
2019,WA,ProsserNE,28C_4C,9,8.67,71.03,80,31.15
2019,WA,ProsserNE,28C_4C_4h,9,8.67,71.54,80,31.42
2020,WA,ProsserNE,30C,9,8.67,86.28,100,26.19
2020,WA,ProsserNE,28C,9,8.67,79.36,90,28.76
2020,WA,ProsserNE,28C_4C,9,8.67,79.36,90,28.76
2020,WA,ProsserNE,28C_4C_4h,9,8.67,83.72,100,27.78
2021,WA,ProsserNE,30C,9,8.67,72.82,90,35.01
2021,WA,ProsserNE,28C,8,9.75,65,80,37.41
2021,WA,ProsserNE,28C_4C,8,9.75,61.92,70,36.08
2021,WA,ProsserNE,28C_4C_4h,8,9.75,64.1,75,37.08
2022,WA,ProsserNE,30C,8,9.75,52.05,60,38.15
2022,WA,ProsserNE,28C,8,9.75,49.36,50,38.15
2022,WA,ProsserNE,28C_4C,8,9.75,45.38,40,38.87
2022,WA,ProsserNE,28C_4C_4h,8,9.75,47.69,45,37.41
2016,WA,Grandview,30C,9,8.67,84.23,100,27.85
2016,WA,Grandview,28C,9,8.67,82.05,100,28.62
2016,WA,Grandview,28C_4C,9,8.67,78.08,90,28.61
